freq,unit,accident,victim,pers_cat,geo\TIME_PERIOD	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,NR,COLLIS,INJ_SRL,EMP,AT	4 	2 	0 	2 	1 	0 	0 	5 	0 	2 	0 	1 	3 	0 	2 	1 	0 	0 
A,NR,COLLIS,INJ_SRL,EMP,BE	0 	1 	4 	0 	2 	0 	1 	0 	0 	0 	1 	1 	0 	0 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,EMP,BG	2 	2 	0 	0 	0 	0 	3 	0 	0 	0 	0 	0 	2 	1 	1 	1 	2 	0 
A,NR,COLLIS,INJ_SRL,EMP,CH	: 	: 	: 	0 	0 	0 	1 	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,EMP,CHUNNEL	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,EMP,CZ	2 	0 	1 	1 	0 	0 	0 	0 	1 	2 	0 	4 	0 	0 	2 	1 	0 	1 
A,NR,COLLIS,INJ_SRL,EMP,DE	8 	4 	5 	6 	0 	2 	1 	2 	2 	0 	1 	5 	1 	1 	6 	0 	4 	1 
A,NR,COLLIS,INJ_SRL,EMP,DK	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,EMP,EE	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,EMP,EL	3 	0 	0 	0 	0 	0 	1 	1 	0 	0 	0 	0 	1 	0 	0 	0 	1 	0 
A,NR,COLLIS,INJ_SRL,EMP,ES	0 	1 	0 	0 	1 	0 	1 	0 	2 	0 	0 	1 	0 	0 	1 	1 	0 	0 
A,NR,COLLIS,INJ_SRL,EMP,EU27_2020	: 	: 	: 	: 	23 	8 	17 	22 	9 	10 	8 	15 	16 	6 	14 	6 	13 	9 
A,NR,COLLIS,INJ_SRL,EMP,FI	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,EMP,FR	: 	0 	2 	1 	1 	0 	3 	0 	0 	0 	0 	0 	4 	0 	1 	1 	0 	0 
A,NR,COLLIS,INJ_SRL,EMP,HR	: 	: 	: 	: 	0 	0 	2 	0 	1 	0 	0 	0 	0 	0 	0 	1 	0 	0 
A,NR,COLLIS,INJ_SRL,EMP,HU	: 	1 	0 	0 	1 	0 	0 	0 	0 	1 	1 	0 	0 	1 	0 	0 	1 	1 
A,NR,COLLIS,INJ_SRL,EMP,IE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,EMP,IT	0 	1 	0 	0 	1 	0 	0 	0 	1 	0 	2 	0 	3 	0 	0 	0 	1 	0 
A,NR,COLLIS,INJ_SRL,EMP,LT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,EMP,LU	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,EMP,LV	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,EMP,ME	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 
A,NR,COLLIS,INJ_SRL,EMP,MK	: 	: 	: 	0 	1 	0 	0 	0 	0 	0 	0 	0 	1 	: 	: 	: 	: 	: 
A,NR,COLLIS,INJ_SRL,EMP,NL	0 	1 	0 	1 	0 	0 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	1 
A,NR,COLLIS,INJ_SRL,EMP,NO	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,EMP,PL	2 	1 	3 	1 	4 	5 	2 	1 	1 	0 	1 	1 	1 	0 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,EMP,PT	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	1 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,EMP,RO	0 	0 	0 	0 	8 	0 	0 	13 	1 	4 	0 	0 	0 	3 	0 	0 	1 	3 
A,NR,COLLIS,INJ_SRL,EMP,SE	: 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 
A,NR,COLLIS,INJ_SRL,EMP,SI	: 	0 	3 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,EMP,SK	: 	0 	0 	0 	3 	0 	2 	0 	0 	0 	0 	1 	1 	0 	0 	0 	3 	0 
