freq,unit,accident,victim,pers_cat,geo\TIME_PERIOD	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,NR,TOTAL,KIL,EMP,AT	0 	3 	2 	0 	0 	2 	1 	5 	2 	5 	1 	0 	0 	0 	0 	0 	0 	1 
A,NR,TOTAL,KIL,EMP,BE	0 	3 	1 	1 	1 	2 	1 	0 	1 	0 	1 	3 	0 	0 	0 	1 	1 	0 
A,NR,TOTAL,KIL,EMP,BG	0 	1 	1 	1 	2 	1 	2 	0 	1 	1 	1 	0 	3 	0 	0 	0 	2 	3 
A,NR,TOTAL,KIL,EMP,CH	: 	: 	: 	1 	1 	0 	3 	1 	1 	4 	0 	1 	4 	3 	2 	0 	5 	1 
A,NR,TOTAL,KIL,EMP,CHUNNEL	: 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,TOTAL,KIL,EMP,CZ	1 	1 	4 	0 	5 	3 	3 	1 	3 	2 	1 	0 	0 	2 	2 	5 	2 	2 
A,NR,TOTAL,KIL,EMP,DE	6 	9 	8 	4 	8 	10 	9 	8 	8 	11 	10 	10 	3 	2 	7 	8 	7 	8 
A,NR,TOTAL,KIL,EMP,DK	1 	0 	0 	1 	0 	0 	0 	0 	0 	1 	1 	0 	0 	0 	1 	0 	1 	0 
A,NR,TOTAL,KIL,EMP,EE	: 	1 	0 	2 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	1 
A,NR,TOTAL,KIL,EMP,EL	1 	0 	2 	1 	0 	0 	0 	0 	0 	0 	2 	2 	0 	0 	0 	0 	0 	8 
A,NR,TOTAL,KIL,EMP,ES	3 	0 	1 	0 	3 	0 	0 	2 	1 	1 	2 	1 	0 	1 	1 	0 	0 	0 
A,NR,TOTAL,KIL,EMP,EU27_2020	: 	: 	: 	: 	44 	30 	44 	28 	28 	34 	33 	26 	24 	12 	31 	25 	24 	45 
A,NR,TOTAL,KIL,EMP,FI	0 	1 	0 	1 	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 
A,NR,TOTAL,KIL,EMP,FR	4 	2 	2 	1 	1 	2 	4 	3 	1 	2 	1 	2 	4 	0 	1 	1 	0 	3 
A,NR,TOTAL,KIL,EMP,HR	: 	: 	: 	: 	0 	1 	0 	1 	0 	1 	0 	0 	0 	0 	0 	1 	3 	0 
A,NR,TOTAL,KIL,EMP,HU	0 	3 	1 	1 	2 	1 	1 	0 	1 	2 	1 	0 	1 	0 	0 	1 	2 	0 
A,NR,TOTAL,KIL,EMP,IE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,TOTAL,KIL,EMP,IT	13 	3 	5 	5 	5 	1 	1 	2 	3 	0 	4 	2 	3 	0 	4 	2 	2 	6 
A,NR,TOTAL,KIL,EMP,LT	3 	0 	2 	1 	0 	0 	1 	0 	0 	0 	0 	1 	2 	0 	0 	0 	0 	0 
A,NR,TOTAL,KIL,EMP,LU	: 	: 	: 	1 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
A,NR,TOTAL,KIL,EMP,LV	0 	1 	2 	1 	0 	0 	0 	0 	2 	2 	1 	0 	0 	1 	0 	0 	0 	1 
A,NR,TOTAL,KIL,EMP,ME	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 
A,NR,TOTAL,KIL,EMP,MK	: 	: 	: 	0 	0 	0 	0 	0 	2 	0 	0 	0 	0 	: 	: 	: 	: 	: 
A,NR,TOTAL,KIL,EMP,NL	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 	2 	0 	0 	0 	1 	0 	0 	2 
A,NR,TOTAL,KIL,EMP,NO	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
A,NR,TOTAL,KIL,EMP,PL	3 	3 	1 	1 	6 	2 	15 	2 	1 	3 	1 	1 	4 	3 	4 	0 	0 	3 
A,NR,TOTAL,KIL,EMP,PT	1 	5 	1 	1 	1 	0 	0 	0 	0 	0 	0 	0 	1 	1 	3 	1 	0 	0 
A,NR,TOTAL,KIL,EMP,RO	0 	0 	4 	3 	4 	2 	3 	2 	2 	0 	2 	2 	0 	0 	4 	3 	0 	1 
A,NR,TOTAL,KIL,EMP,SE	0 	0 	0 	0 	2 	2 	1 	0 	1 	1 	0 	0 	2 	2 	2 	0 	1 	2 
A,NR,TOTAL,KIL,EMP,SI	1 	0 	0 	1 	0 	0 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	4 
A,NR,TOTAL,KIL,EMP,SK	2 	0 	2 	1 	2 	0 	1 	2 	0 	2 	2 	1 	0 	0 	1 	2 	2 	0 
A,NR,TOTAL,KIL,EMP,TR	0 	1 	1 	1 	2 	2 	2 	1 	0 	1 	0 	6 	6 	: 	4 	0 	: 	: 
A,NR,TOTAL,KIL,EMP,UK	0 	2 	1 	1 	0 	0 	1 	0 	1 	0 	0 	0 	1 	3 	3 	: 	: 	: 
A,NR,TOTAL,KIL,LV_USR,AT	22 	33 	17 	12 	13 	21 	14 	17 	13 	20 	13 	7 	6 	8 	15 	8 	15 	9 
A,NR,TOTAL,KIL,LV_USR,BE	9 	19 	10 	8 	8 	8 	13 	6 	11 	11 	4 	9 	9 	7 	9 	9 	11 	6 
A,NR,TOTAL,KIL,LV_USR,BG	4 	5 	4 	4 	8 	2 	7 	3 	5 	2 	5 	5 	4 	3 	6 	4 	5 	6 
A,NR,TOTAL,KIL,LV_USR,CH	: 	: 	: 	4 	0 	3 	5 	2 	2 	2 	1 	0 	1 	1 	0 	1 	2 	1 
A,NR,TOTAL,KIL,LV_USR,CHUNNEL	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,TOTAL,KIL,LV_USR,CZ	31 	23 	24 	21 	34 	17 	19 	15 	23 	18 	22 	20 	21 	23 	21 	16 	16 	18 
A,NR,TOTAL,KIL,LV_USR,DE	50 	67 	50 	41 	44 	28 	45 	32 	41 	32 	28 	44 	35 	34 	26 	25 	40 	28 
A,NR,TOTAL,KIL,LV_USR,DK	5 	5 	3 	3 	4 	0 	2 	6 	6 	1 	1 	1 	3 	0 	0 	1 	0 	2 
A,NR,TOTAL,KIL,LV_USR,EE	: 	6 	1 	3 	2 	3 	4 	2 	5 	1 	0 	5 	2 	1 	1 	1 	1 	1 
A,NR,TOTAL,KIL,LV_USR,EL	12 	5 	6 	13 	12 	5 	8 	4 	5 	8 	1 	4 	4 	6 	0 	5 	2 	2 
A,NR,TOTAL,KIL,LV_USR,ES	14 	19 	15 	16 	9 	8 	5 	7 	8 	6 	8 	14 	7 	1 	3 	4 	7 	8 
A,NR,TOTAL,KIL,LV_USR,EU27_2020	: 	: 	: 	: 	361 	303 	366 	291 	273 	286 	250 	288 	253 	263 	213 	234 	228 	224 
A,NR,TOTAL,KIL,LV_USR,FI	5 	10 	8 	11 	8 	2 	6 	2 	2 	6 	7 	9 	4 	2 	2 	8 	1 	3 
A,NR,TOTAL,KIL,LV_USR,FR	38 	38 	38 	36 	29 	29 	33 	29 	25 	27 	31 	42 	16 	20 	15 	21 	13 	30 
A,NR,TOTAL,KIL,LV_USR,HR	: 	: 	: 	: 	7 	15 	8 	11 	7 	8 	2 	7 	8 	6 	4 	6 	10 	2 
A,NR,TOTAL,KIL,LV_USR,HU	22 	26 	42 	28 	30 	27 	27 	22 	18 	25 	17 	20 	20 	29 	16 	20 	29 	11 
A,NR,TOTAL,KIL,LV_USR,IE	0 	1 	1 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,TOTAL,KIL,LV_USR,IT	19 	16 	6 	5 	11 	15 	12 	10 	7 	8 	7 	8 	3 	5 	4 	4 	11 	4 
A,NR,TOTAL,KIL,LV_USR,LT	8 	6 	6 	8 	5 	6 	3 	2 	4 	2 	4 	2 	3 	0 	1 	0 	0 	0 
A,NR,TOTAL,KIL,LV_USR,LU	: 	: 	: 	1 	0 	0 	0 	2 	0 	0 	0 	0 	2 	0 	0 	1 	0 	1 
A,NR,TOTAL,KIL,LV_USR,LV	4 	4 	6 	2 	5 	2 	5 	2 	4 	2 	3 	7 	5 	5 	0 	1 	3 	0 
A,NR,TOTAL,KIL,LV_USR,NL	12 	19 	18 	13 	8 	10 	13 	15 	7 	13 	3 	6 	13 	9 	4 	9 	2 	6 
A,NR,TOTAL,KIL,LV_USR,NO	0 	0 	0 	2 	3 	1 	1 	2 	1 	1 	0 	2 	1 	0 	1 	0 	1 	4 
A,NR,TOTAL,KIL,LV_USR,PL	32 	81 	39 	73 	54 	60 	61 	52 	38 	53 	48 	42 	49 	60 	47 	48 	40 	39 
A,NR,TOTAL,KIL,LV_USR,PT	18 	20 	15 	17 	11 	4 	8 	10 	4 	6 	8 	6 	4 	12 	7 	7 	2 	8 
A,NR,TOTAL,KIL,LV_USR,RO	22 	55 	38 	40 	35 	22 	41 	25 	19 	17 	23 	16 	17 	15 	21 	13 	13 	19 
A,NR,TOTAL,KIL,LV_USR,SE	9 	9 	4 	6 	7 	7 	7 	7 	9 	6 	5 	4 	2 	6 	1 	9 	2 	7 
A,NR,TOTAL,KIL,LV_USR,SI	9 	9 	4 	7 	6 	1 	4 	4 	3 	1 	5 	5 	1 	2 	2 	2 	3 	3 
A,NR,TOTAL,KIL,LV_USR,SK	16 	15 	11 	25 	9 	11 	21 	6 	9 	13 	5 	5 	15 	9 	8 	12 	2 	11 
A,NR,TOTAL,KIL,LV_USR,UK	5 	13 	14 	13 	4 	6 	7 	9 	9 	2 	5 	9 	4 	3 	2 	: 	: 	: 
A,NR,TOTAL,KIL,OTH,AT	24 	1 	0 	2 	0 	0 	1 	0 	0 	1 	1 	1 	0 	0 	0 	0 	0 	1 
A,NR,TOTAL,KIL,OTH,BE	0 	0 	0 	0 	2 	2 	1 	0 	1 	0 	3 	0 	0 	2 	0 	0 	1 	1 
A,NR,TOTAL,KIL,OTH,BG	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	8 	2 	1 	0 	1 	1 	0 	0 
A,NR,TOTAL,KIL,OTH,CH	: 	: 	: 	0 	2 	1 	0 	3 	1 	3 	0 	0 	0 	0 	0 	0 	2 	1 
A,NR,TOTAL,KIL,OTH,CHUNNEL	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,TOTAL,KIL,OTH,CZ	0 	0 	0 	0 	1 	0 	0 	0 	1 	0 	1 	4 	1 	2 	3 	1 	0 	1 
A,NR,TOTAL,KIL,OTH,DE	0 	13 	27 	19 	14 	11 	7 	6 	7 	10 	4 	8 	5 	7 	6 	6 	6 	9 
A,NR,TOTAL,KIL,OTH,DK	11 	0 	0 	0 	0 	0 	1 	0 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 
A,NR,TOTAL,KIL,OTH,EE	: 	7 	0 	0 	0 	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,TOTAL,KIL,OTH,EL	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,TOTAL,KIL,OTH,ES	0 	0 	2 	0 	0 	0 	2 	0 	0 	1 	2 	3 	1 	4 	4 	0 	2 	0 
A,NR,TOTAL,KIL,OTH,EU27_2020	: 	: 	: 	: 	27 	21 	24 	20 	21 	20 	30 	28 	13 	19 	22 	14 	15 	27 
A,NR,TOTAL,KIL,OTH,FI	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 
A,NR,TOTAL,KIL,OTH,FR	0 	13 	4 	1 	0 	0 	0 	4 	3 	1 	1 	3 	1 	2 	3 	3 	3 	7 
A,NR,TOTAL,KIL,OTH,HR	: 	: 	: 	: 	0 	0 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,TOTAL,KIL,OTH,HU	0 	2 	0 	0 	0 	0 	0 	1 	1 	0 	1 	1 	1 	0 	0 	0 	0 	0 
A,NR,TOTAL,KIL,OTH,IE	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,TOTAL,KIL,OTH,IT	0 	0 	0 	30 	0 	0 	0 	2 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 
