country,2019,2020,2021,2022,2023,total
Austria,0,0,0,0,0,0
Belgium,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0
Switzerland,0,0,0,0,1,1
Czechia,0,3,4,1,0,8
Germany,0,2,1,2,0,5
Denmark,8,1,0,0,0,9
Estonia,0,0,0,0,0,0
Greece,0,0,0,0,57,57
Spain,3,2,0,0,0,5
Finland,0,0,0,0,0,0
France,1,0,0,0,0,1
Croatia,0,0,0,3,0,3
Hungary,0,0,0,0,0,0
Ireland,0,0,0,0,0,0
Italy,3,0,2,0,0,5
Lithuania,0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0
Latvia,0,0,0,0,0,0
Montenegro,0,0,0,0,0,0
North Macedonia,0,0,0,0,0,0
Netherlands,0,0,0,0,1,1
Norway,1,0,0,0,0,1
Poland,1,3,0,0,2,6
Portugal,1,2,0,0,0,3
Romania,0,0,0,0,1,1
Sweden,0,0,0,0,0,0
Slovenia,0,0,0,0,0,0
Slovakia,0,0,0,0,0,0
United Kingdom,0,0,0,0,0,0
