freq,unit,victim,c_regis,geo\TIME_PERIOD	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,NR,INJ,EU27_2020,AT	4 	0 	0 	0 	1 	0 	0 	0 	3 	0 	0 	1 	4 	1 	0 	0 p	0 p	0 p
A,NR,INJ,EU27_2020,BE	0 	0 	1 	0 	0 	2 	0 	0 	0 	0 	0 	4 	0 	0 	0 	0 p	0 p	2 p
A,NR,INJ,EU27_2020,BG	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 p	0 p	0 p
A,NR,INJ,EU27_2020,CH	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 p	0 p	0 p
A,NR,INJ,EU27_2020,CY	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 p	0 p	0 p
A,NR,INJ,EU27_2020,CZ	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 p	0 p	2 p
A,NR,INJ,EU27_2020,DE	9 	4 	12 	14 	13 	4 	14 	5 	0 	5 	1 	3 	3 	10 	0 	0 p	0 p	0 p
A,NR,INJ,EU27_2020,DK	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 p	0 p	0 p
A,NR,INJ,EU27_2020,EE	0 	0 	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 p	0 p	0 p
A,NR,INJ,EU27_2020,EL	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 p	1 p	0 p
A,NR,INJ,EU27_2020,ES	0 	4 	0 	0 	3 	1 	0 	5 	1 	6 	0 	1 	0 	1 	0 	1 p	0 p	7 p
A,NR,INJ,EU27_2020,EU27_2020	13 	18 	20 	15 	24 	11 	35 	19 	26 	17 	7 	15 	9 	13 	2 	2 p	1 p	17 p
A,NR,INJ,EU27_2020,EU28	13 	18 	20 	15 	24 	11 	35 	19 	26 	17 	7 	15 	9 	13 	: 	: 	: 	: 
A,NR,INJ,EU27_2020,FI	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 p	0 p	0 p
A,NR,INJ,EU27_2020,FR	0 	7 	2 	0 	4 	0 	1 	9 	18 	5 	1 	6 	0 	1 	0 	0 p	0 p	6 p
A,NR,INJ,EU27_2020,HR	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	0 	0 	0 p	0 p	0 p
A,NR,INJ,EU27_2020,HU	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 p	0 p	0 p
A,NR,INJ,EU27_2020,IE	0 	0 	0 	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 p	0 p	0 p
A,NR,INJ,EU27_2020,IS	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 p	0 p	0 p
A,NR,INJ,EU27_2020,IT	0 	3 	2 	0 	1 	0 	6 	0 	0 	1 	0 	0 	0 	0 	0 	1 p	0 p	0 p
A,NR,INJ,EU27_2020,LI	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 p	0 p	0 p
A,NR,INJ,EU27_2020,LT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	0 p	0 p	0 p
A,NR,INJ,EU27_2020,LU	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 p	0 p	0 p
A,NR,INJ,EU27_2020,LV	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 p	0 p	0 p
A,NR,INJ,EU27_2020,MT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 p	0 p	0 p
A,NR,INJ,EU27_2020,NL	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 p	0 p	0 p
A,NR,INJ,EU27_2020,NO	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 p	0 p	0 p
A,NR,INJ,EU27_2020,OTH	24 	2 	1 	0 	3 	8 	12 	6 	0 	2 	2 	0 	9 	0 	0 	2 p	0 p	0 p
A,NR,INJ,EU27_2020,PL	0 	0 	0 	0 	0 	1 	0 	0 	3 	0 	3 	0 	0 	0 	0 	0 p	0 p	0 p
A,NR,INJ,EU27_2020,PT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 p	0 p	0 p
A,NR,INJ,EU27_2020,RO	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 p	0 p	0 p
A,NR,INJ,EU27_2020,SE	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 p	0 p	0 p
A,NR,INJ,EU27_2020,SI	0 	0 	0 	0 	0 	0 	14 	0 	0 	0 	0 	0 	0 	0 	0 	0 p	0 p	0 p
A,NR,INJ,EU27_2020,SK	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 p	0 p	0 p
A,NR,INJ,EU27_2020,UK	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 p	0 p	0 p
A,NR,INJ,EU28,AT	4 	0 	0 	0 	1 	0 	0 	0 	3 	0 	0 	1 	4 	1 	: 	: 	: 	: 
A,NR,INJ,EU28,BE	0 	0 	1 	0 	0 	2 	0 	0 	0 	0 	0 	4 	0 	0 	: 	: 	: 	: 
A,NR,INJ,EU28,BG	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
A,NR,INJ,EU28,CH	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
A,NR,INJ,EU28,CY	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
A,NR,INJ,EU28,CZ	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
A,NR,INJ,EU28,DE	9 	4 	12 	14 	13 	4 	14 	5 	0 	5 	1 	3 	3 	10 	: 	: 	: 	: 
A,NR,INJ,EU28,DK	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	: 	: 	: 	: 
A,NR,INJ,EU28,EE	0 	0 	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
A,NR,INJ,EU28,EL	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
A,NR,INJ,EU28,ES	0 	4 	0 	0 	3 	1 	0 	5 	4 	6 	0 	1 	0 	1 	: 	: 	: 	: 
A,NR,INJ,EU28,EU27_2020	13 	18 	20 	18 	24 	11 	35 	19 	29 	18 	7 	15 	11 	13 	: 	: 	: 	: 
A,NR,INJ,EU28,EU28	28 	20 	33 	24 	32 	14 	56 	29 	30 	20 	7 	18 	12 	13 	: 	: 	: 	: 
A,NR,INJ,EU28,FI	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
A,NR,INJ,EU28,FR	0 	7 	2 	0 	4 	0 	1 	9 	18 	5 	1 	6 	0 	1 	: 	: 	: 	: 
A,NR,INJ,EU28,HR	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	0 	: 	: 	: 	: 
A,NR,INJ,EU28,HU	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
A,NR,INJ,EU28,IE	0 	0 	0 	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
A,NR,INJ,EU28,IS	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
A,NR,INJ,EU28,IT	0 	3 	2 	3 	1 	0 	6 	0 	0 	2 	0 	0 	2 	0 	: 	: 	: 	: 
A,NR,INJ,EU28,LI	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
A,NR,INJ,EU28,LT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
A,NR,INJ,EU28,LU	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
A,NR,INJ,EU28,LV	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
