geo	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
AT	0 	0 	1 	0 	0 	0 	0 	2 	0 	2 	0 	2 	1 	0 	0 	0 	0 	0 
BE	0 	0 	0 	0 	19 	0 	1 	0 	0 	0 	3 	0 	0 	0 	0 	0 	0 	0 
BG	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
CH	0 	0 	0 	0 	0 	1 	1 	3 	0 	0 	0 	1 	0 	0 	0 	0 	0 	1 
CHUNNEL	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
CZ	0 	1 	10 	0 	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	3 	4 	1 	0 
DE	0 	1 	1 	1 	0 	10 	8 	1 	0 	2 	11 	0 	2 	0 	2 	1 	2 	0 
DK	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	3 	8 	1 	0 	0 	0 
EE	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
EL	4 	2 	0 	2 	1 	0 	4 	0 	0 	0 	2 	1 	1 	0 	0 	0 	0 	57 
ES	2 	0 	3 	0 	2 	0 	2 	0 	0 	0 	0 	0 	1 	3 	2 	0 	0 	0 
EU27_2020	0 	0 	0 	0 	32 	12 	33 	7 	3 	6 	44 	4 	11 	17 	13 	7 	6 	61 
FI	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
FR	9 	2 	0 	0 	0 	0 	0 	1 	1 	0 	0 	0 	3 	1 	0 	0 	0 	0 
HR	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	3 	0 
HU	0 	2 	4 	0 	1 	0 	0 	0 	0 	0 	3 	0 	0 	0 	0 	0 	0 	0 
IE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
IT	3 	1 	1 	1 	0 	0 	0 	2 	0 	0 	23 	0 	0 	3 	0 	2 	0 	0 
LT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
LU	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
LV	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
ME	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MK	0 	0 	0 	0 	9 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NL	0 	0 	0 	1 	0 	0 	1 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	1 
NO	0 	0 	0 	0 	3 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
PL	1 	1 	0 	0 	0 	0 	16 	1 	1 	0 	0 	0 	0 	1 	3 	0 	0 	2 
PT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	2 	0 	0 	0 
RO	0 	0 	0 	0 	3 	0 	0 	0 	0 	0 	2 	0 	0 	0 	0 	0 	0 	1 
SE	0 	0 	0 	0 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 
SI	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
SK	0 	0 	0 	0 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
TR	0 	0 	0 	1 	1 	2 	2 	0 	0 	1 	0 	0 	9 	0 	0 	0 	0 	0 
UK	1 	0 	0 	2 	0 	0 	1 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 
