country,2019,2020,2021,2022,2023,total
Austria,0,0,0,1,0,1
Belgium,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0
Switzerland,0,0,0,0,0,0
Cyprus,0,0,0,0,0,0
Czechia,0,0,0,0,0,0
Germany,0,0,0,0,0,0
Denmark,0,0,0,0,0,0
Estonia,0,0,0,0,0,0
Greece,3,0,0,1,0,4
Spain,9,0,0,0,0,9
Finland,0,0,0,0,0,0
France,2,0,0,0,2,4
Croatia,0,0,0,0,0,0
Hungary,0,1,0,0,0,1
Ireland,0,0,0,0,0,0
Iceland,0,0,0,0,0,0
Italy,7,2,0,14,0,23
Liechtenstein,0,0,0,0,0,0
Lithuania,0,0,0,1,0,1
Luxembourg,0,0,0,0,0,0
Latvia,0,0,0,0,0,0
Malta,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0
Norway,0,0,0,0,0,0
Other,0,0,0,0,4,4
Poland,0,0,0,0,0,0
Portugal,0,0,0,0,0,0
Romania,0,0,0,0,0,0
Sweden,0,0,0,0,0,0
Slovenia,0,0,0,0,0,0
Slovakia,0,0,0,0,0,0
United Kingdom,0,0,0,0,0,0
